Number;Date;Mileage;Temperature;FuelFlow
0;2018-06-30;696.8;15.2;10.08
1;2018-07-31;2751.5;19.4;8.91
2;2018-08-31;1308.7;17.9;7.45
3;2018-09-30;837.4;12.7;9.17
4;2018-10-31;2130.8;5.6;8.2
5;2018-11-30;704.0;-1.6;10.3
6;2018-12-31;666.3;-7.6;12.01
7;2019-01-31;840.5;-8.5;10.17
8;2019-02-28;642.0;-3.6;11.49
9;2019-03-31;900.0;-1.3;9.72
10;2019-04-30;642.0;6.0;9.74
11;2019-05-31;1130.0;14.1;8.85
12;2019-06-30;740.0;17.0;8.45
13;2019-07-31;1025.0;15.1;9.15
14;2019-08-31;1009.0;14.1;8.67
15;2019-09-30;2187.0;10.5;7.72
16;2019-10-31;2069.0;5.8;7.73
17;2019-11-30;377.0;-0.9;11.6
18;2019-12-31;393.0;-1.1;10.95
19;2020-01-31;600.0;-1.9;11.04
20;2020-02-29;791.0;-2.1;9.96
21;2020-03-31;475.0;1.9;10.85
22;2020-04-30;265.0;3.1;8.96
23;2020-05-31;1334.0;10.5;6.08
24;2020-06-30;1079.0;16.4;10.26
25;2020-07-31;1229.0;18.3;9.57
26;2020-08-31;1335.0;15.4;9.18
27;2020-09-30;37.0;12.5;16.89
29;2020-11-30;235.0;0.4;12.77
30;2020-12-31;803.0;-7.1;10.43
31;2021-01-31;575.0;-8.6;11.3
32;2021-02-28;558.0;-15.3;12.99
33;2021-03-31;792.0;-3.5;9.94
34;2021-04-30;1515.0;6.4;7.96
35;2021-05-31;878.0;13.6;8.97
36;2021-06-30;733.0;19.9;9.72
37;2021-07-31;1379.0;20.5;8.97
38;2021-08-31;1534.0;17.9;8.56
39;2021-09-30;1025.0;8.8;10.0
40;2021-10-31;1236.0;5.8;8.19
41;2021-11-30;602.0;1.0;11.0
42;2021-12-31;1032.0;-10.6;7.87
43;2022-01-31;960.0;-8.5;10.03
44;2022-02-28;593.0;-2.3;11.17
45;2022-03-31;976.0;-2.8;9.09
46;2022-04-30;800.0;4.6;9.69
47;2022-05-31;838.0;8.8;8.65
48;2022-06-30;971.0;16.8;9.91
49;2022-07-31;1114.0;0.0;9.65
